edge_id,u,v,edge_length_m,estimated_travel_time,routing_cost,static_cost,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count,zone,direction,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,zone_type,static_component,graph_component
0,0,1,28.82,3.46,49.58,28.82,30.0,0.355,0.58,0.719,0.453,0.204,0.5585,0.621,0.724,0.3315,0.5645,0.128,0.489,0.523,0.3165,0.406,2.25,0.629,0.2595,0.3815,0.5685,0.3905,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
1,0,1600,23.82,2.86,41.48,23.82,30.0,0.28,0.405,0.6205,0.481,0.2455,0.7035,0.5695,0.6365,0.3795,0.4585,0.08,0.4145,0.457,0.341,0.4505,4.12,0.581,0.219,0.314,0.4675,0.4655,5.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
2,0,1608,24.34,2.92,41.34,24.34,30.0,0.35,0.65,0.6465,0.458,0.294,0.6305,0.5575,0.6625,0.4205,0.5005,0.106,0.416,0.503,0.3515,0.4195,2.9,0.558,0.2835,0.2985,0.558,0.47,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
3,0,1648,18.14,2.18,31.0,18.14,30.0,0.355,0.405,0.7155,0.486,0.379,0.567,0.6205,0.7265,0.3805,0.549,0.0745,0.465,0.538,0.286,0.4115,4.555,0.596,0.206,0.3885,0.592,0.3875,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
4,0,2237,61.73,7.41,105.23,61.73,30.0,0.425,0.545,0.7375,0.492,0.279,0.792,0.61,0.7325,0.321,0.537,0.102,0.4725,0.49,0.3225,0.3955,2.345,0.618,0.2295,0.3775,0.546,0.4225,5.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
5,0,2242,23.74,2.85,41.65,23.74,30.0,0.27,0.575,0.7215,0.5345,0.2165,0.7995,0.617,0.7095,0.397,0.566,0.1065,0.459,0.484,0.326,0.448,3.19,0.612,0.257,0.409,0.561,0.4835,5.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
6,1,1608,8.38,1.01,14.28,8.38,30.0,0.315,0.63,0.7085,0.498,0.238,0.42,0.6375,0.7025,0.337,0.564,0.17,0.446,0.542,0.33,0.3965,0.9,0.616,0.25,0.382,0.5705,0.4185,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Shivaji Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
7,1,1648,28.38,3.41,48.69,28.38,30.0,0.32,0.385,0.7775,0.526,0.323,0.3565,0.7005,0.7665,0.297,0.6125,0.1385,0.495,0.577,0.2645,0.3885,2.555,0.654,0.1725,0.472,0.6045,0.336,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Shivaji Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
8,1,1733,29.75,3.57,51.87,29.75,30.0,0.3325,0.525,0.714,0.4812,0.1168,0.4595,0.655,0.6925,0.3505,0.5317,0.176,0.4518,0.5342,0.3278,0.4235,2.785,0.6402,0.1995,0.3832,0.5015,0.4158,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Shivaji Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
9,2,1665,56.9,6.83,97.57,56.9,30.0,0.235,0.38,0.669,0.433,0.2995,0.763,0.537,0.638,0.3885,0.443,0.087,0.4095,0.5415,0.29,0.415,3.715,0.5995,0.237,0.329,0.477,0.4855,7.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
