edge_id,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
0,0.5481,0.5481,0.5481,0.5481,0.5481,0.4466,0.4466,0.4872,0.4872,0.4872,0.406,0.406,0.406,0.406,0.406,0.406,0.5075,0.5075,0.5075,0.5075,0.4466,0.4466,0.5278,0.5278
1,0.6082,0.6082,0.6082,0.6082,0.6082,0.4956,0.4956,0.5406,0.5406,0.5406,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.5631,0.5631,0.5631,0.5631,0.4956,0.4956,0.5856,0.5856
2,0.5663,0.5663,0.5663,0.5663,0.5663,0.4614,0.4614,0.5034,0.5034,0.5034,0.4195,0.4195,0.4195,0.4195,0.4195,0.4195,0.5244,0.5244,0.5244,0.5244,0.4614,0.4614,0.5454,0.5454
3,0.5555,0.5555,0.5555,0.5555,0.5555,0.4526,0.4526,0.4938,0.4938,0.4938,0.4115,0.4115,0.4115,0.4115,0.4115,0.4115,0.5144,0.5144,0.5144,0.5144,0.4526,0.4526,0.535,0.535
4,0.5339,0.5339,0.5339,0.5339,0.5339,0.4351,0.4351,0.4746,0.4746,0.4746,0.3955,0.3955,0.3955,0.3955,0.3955,0.3955,0.4944,0.4944,0.4944,0.4944,0.4351,0.4351,0.5142,0.5142
5,0.6048,0.6048,0.6048,0.6048,0.6048,0.4928,0.4928,0.5376,0.5376,0.5376,0.448,0.448,0.448,0.448,0.448,0.448,0.56,0.56,0.56,0.56,0.4928,0.4928,0.5824,0.5824
6,0.5353,0.5353,0.5353,0.5353,0.5353,0.4362,0.4362,0.4758,0.4758,0.4758,0.3965,0.3965,0.3965,0.3965,0.3965,0.3965,0.4956,0.4956,0.4956,0.4956,0.4362,0.4362,0.5155,0.5155
7,0.5245,0.5245,0.5245,0.5245,0.5245,0.4274,0.4274,0.4662,0.4662,0.4662,0.3885,0.3885,0.3885,0.3885,0.3885,0.3885,0.4856,0.4856,0.4856,0.4856,0.4274,0.4274,0.505,0.505
8,0.5717,0.5717,0.5717,0.5717,0.5717,0.4658,0.4658,0.5082,0.5082,0.5082,0.4235,0.4235,0.4235,0.4235,0.4235,0.4235,0.5294,0.5294,0.5294,0.5294,0.4658,0.4658,0.5506,0.5506
9,0.5602,0.5602,0.5602,0.5602,0.5602,0.4565,0.4565,0.498,0.498,0.498,0.415,0.415,0.415,0.415,0.415,0.415,0.5187,0.5187,0.5187,0.5187,0.4565,0.4565,0.5395,0.5395
10,0.6494,0.6494,0.6494,0.6494,0.6494,0.5291,0.5291,0.5772,0.5772,0.5772,0.481,0.481,0.481,0.481,0.481,0.481,0.6012,0.6012,0.6012,0.6012,0.5291,0.5291,0.6253,0.6253
11,0.5738,0.5738,0.5738,0.5738,0.5738,0.4675,0.4675,0.51,0.51,0.51,0.425,0.425,0.425,0.425,0.425,0.425,0.5312,0.5312,0.5312,0.5312,0.4675,0.4675,0.5525,0.5525
12,0.4867,0.4867,0.4867,0.4867,0.4867,0.3966,0.3966,0.4326,0.4326,0.4326,0.3605,0.3605,0.3605,0.3605,0.3605,0.3605,0.4506,0.4506,0.4506,0.4506,0.3966,0.3966,0.4686,0.4686
13,0.4745,0.4745,0.4745,0.4745,0.4745,0.3866,0.3866,0.4218,0.4218,0.4218,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.4394,0.4394,0.4394,0.4394,0.3866,0.3866,0.457,0.457
14,0.4664,0.4664,0.4664,0.4664,0.4664,0.38,0.38,0.4146,0.4146,0.4146,0.3455,0.3455,0.3455,0.3455,0.3455,0.3455,0.4319,0.4319,0.4319,0.4319,0.38,0.38,0.4492,0.4492
15,0.4759,0.4759,0.4759,0.4759,0.4759,0.3878,0.3878,0.423,0.423,0.423,0.3525,0.3525,0.3525,0.3525,0.3525,0.3525,0.4406,0.4406,0.4406,0.4406,0.3878,0.3878,0.4582,0.4582
16,0.459,0.459,0.459,0.459,0.459,0.374,0.374,0.408,0.408,0.408,0.34,0.34,0.34,0.34,0.34,0.34,0.425,0.425,0.425,0.425,0.374,0.374,0.442,0.442
17,0.4421,0.4421,0.4421,0.4421,0.4421,0.3603,0.3603,0.393,0.393,0.393,0.3275,0.3275,0.3275,0.3275,0.3275,0.3275,0.4094,0.4094,0.4094,0.4094,0.3603,0.3603,0.4258,0.4258
18,0.5002,0.5002,0.5002,0.5002,0.5002,0.4076,0.4076,0.4446,0.4446,0.4446,0.3705,0.3705,0.3705,0.3705,0.3705,0.3705,0.4631,0.4631,0.4631,0.4631,0.4076,0.4076,0.4816,0.4816
19,0.482,0.482,0.482,0.482,0.482,0.3927,0.3927,0.4284,0.4284,0.4284,0.357,0.357,0.357,0.357,0.357,0.357,0.4462,0.4462,0.4462,0.4462,0.3927,0.3927,0.4641,0.4641
20,0.5481,0.5481,0.5481,0.5481,0.5481,0.4466,0.4466,0.4872,0.4872,0.4872,0.406,0.406,0.406,0.406,0.406,0.406,0.5075,0.5075,0.5075,0.5075,0.4466,0.4466,0.5278,0.5278
21,0.5319,0.5319,0.5319,0.5319,0.5319,0.4334,0.4334,0.4728,0.4728,0.4728,0.394,0.394,0.394,0.394,0.394,0.394,0.4925,0.4925,0.4925,0.4925,0.4334,0.4334,0.5122,0.5122
22,0.5245,0.5245,0.5245,0.5245,0.5245,0.4274,0.4274,0.4662,0.4662,0.4662,0.3885,0.3885,0.3885,0.3885,0.3885,0.3885,0.4856,0.4856,0.4856,0.4856,0.4274,0.4274,0.505,0.505
23,0.5157,0.5157,0.5157,0.5157,0.5157,0.4202,0.4202,0.4584,0.4584,0.4584,0.382,0.382,0.382,0.382,0.382,0.382,0.4775,0.4775,0.4775,0.4775,0.4202,0.4202,0.4966,0.4966
24,0.5184,0.5184,0.5184,0.5184,0.5184,0.4224,0.4224,0.4608,0.4608,0.4608,0.384,0.384,0.384,0.384,0.384,0.384,0.48,0.48,0.48,0.48,0.4224,0.4224,0.4992,0.4992
25,0.5117,0.5117,0.5117,0.5117,0.5117,0.4169,0.4169,0.4548,0.4548,0.4548,0.379,0.379,0.379,0.379,0.379,0.379,0.4738,0.4738,0.4738,0.4738,0.4169,0.4169,0.4927,0.4927
26,0.5117,0.5117,0.5117,0.5117,0.5117,0.4169,0.4169,0.4548,0.4548,0.4548,0.379,0.379,0.379,0.379,0.379,0.379,0.4738,0.4738,0.4738,0.4738,0.4169,0.4169,0.4927,0.4927
27,0.5211,0.5211,0.5211,0.5211,0.5211,0.4246,0.4246,0.4632,0.4632,0.4632,0.386,0.386,0.386,0.386,0.386,0.386,0.4825,0.4825,0.4825,0.4825,0.4246,0.4246,0.5018,0.5018
28,0.515,0.515,0.515,0.515,0.515,0.4196,0.4196,0.4578,0.4578,0.4578,0.3815,0.3815,0.3815,0.3815,0.3815,0.3815,0.4769,0.4769,0.4769,0.4769,0.4196,0.4196,0.496,0.496
29,0.4914,0.4914,0.4914,0.4914,0.4914,0.4004,0.4004,0.4368,0.4368,0.4368,0.364,0.364,0.364,0.364,0.364,0.364,0.455,0.455,0.455,0.455,0.4004,0.4004,0.4732,0.4732
30,0.4948,0.4948,0.4948,0.4948,0.4948,0.4032,0.4032,0.4398,0.4398,0.4398,0.3665,0.3665,0.3665,0.3665,0.3665,0.3665,0.4581,0.4581,0.4581,0.4581,0.4032,0.4032,0.4764,0.4764
31,0.5184,0.5184,0.5184,0.5184,0.5184,0.4224,0.4224,0.4608,0.4608,0.4608,0.384,0.384,0.384,0.384,0.384,0.384,0.48,0.48,0.48,0.48,0.4224,0.4224,0.4992,0.4992
32,0.5225,0.5225,0.5225,0.5225,0.5225,0.4257,0.4257,0.4644,0.4644,0.4644,0.387,0.387,0.387,0.387,0.387,0.387,0.4838,0.4838,0.4838,0.4838,0.4257,0.4257,0.5031,0.5031
